Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C48192,NSR0320MW2T1G,onsemi,SOD-323,,Diode 20V 1A Surface Mount SOD-323,yes,10,10,10,0.1177,1.18,https://www.lcsc.com/product-detail/C48192.html
2,C293351,676432911,MOLEX,"Through Hole,Right Angle",,USB-A (USB TYPE-A) Receptacle Connector 4 Position Right Angle,yes,10,1,1,0.7191,7.19,https://www.lcsc.com/product-detail/C293351.html
3,C585350,1040310811,MOLEX,SMD,,Micro SD card (TF card) Connector and Ejector Push-Pull Surface Mount,yes,5,1,1,0.6229,3.11,https://www.lcsc.com/product-detail/C585350.html
4,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,10,5,5,0.1708,1.71,https://www.lcsc.com/product-detail/C165948.html
5,C192893,SL2.1A,CoreChips,SOP-16,,Hub USB 2.0 SOP-16 Interface Controllers RoHS,yes,5,5,5,0.2353,1.18,https://www.lcsc.com/product-detail/C192893.html
6,C284879,GL823K-HCY04,GENESYS,SSOP-16-150mil,,USB to SD 480Mbps USB 2.0 SSOP-16-150mil Interface Controllers RoHS,yes,5,1,1,0.4568,2.28,https://www.lcsc.com/product-detail/C284879.html
